occurrence in-network-ips
17108 1
3414 2
1446 3
 785 4
 498 5
 281 6
 212 7
 110 9
 110 8
  72 10
  54 11
  52 12
  40 13
  30 15
  28 16
  25 17
  25 14
  22 19
  22 18
  16 22
  16 20
  10 36
  10 26
   9 27
   9 25
   9 21
   8 38
   8 31
   8 24
   8 23
   7 41
   7 30
   7 29
   6 35
   4 58
   4 56
   4 50
   4 46
   4 44
   4 43
   4 33
   4 28
   3 65
   3 40
   3 37
   3 34
   3 32
   2 80
   2 77
   2 61
   2 60
   2 59
   2 57
   2 53
   2 42
   1 97
   1 91
   1 90
   1 87
   1 84
   1 82
   1 79
   1 72
   1 71
   1 70
   1 68
   1 66
   1 64
   1 55
   1 54
   1 52
   1 49
   1 47
   1 39
   1 258
   1 171
   1 141
   1 109
   1 104
   1 103
